id,repo_name,url,stars,loc,size,forks_count,issues,created_at,description,archived,educational,outofdate,tag,commit,go_version
573,kubernetes,https://github.com/kubernetes/kubernetes,81459,2144272,1020273,29685,2695,2014-06-06 22:56:04,Production-Grade Container Scheduling and Management,f,f,f,,44c230bf5c321056e8bc89300b37c497f464f113,1.24.0
509,hugo,https://github.com/gohugoio/hugo,54484,147623,105307,6186,692,2013-07-04 15:26:26,The world’s fastest framework for building websites.,f,f,f,,a88b488181279befd50e1d127f9f67604f2f9854,1.23.0
281,gin,https://github.com/gin-gonic/gin,51896,15968,2678,5888,442,2014-06-16 23:57:25,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",f,f,f,,49e9137c68e6dfaa529a2d0c9fe64d9e69a8554e,1.23.0
264,frp,https://github.com/fatedier/frp,48781,20472,24962,9035,91,2015-12-21 15:24:59,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,f,f,f,,e208043323d0ffb5d495c32e14787f509572174c,1.23.0
824,syncthing,https://github.com/syncthing/syncthing,40305,96379,116850,3197,302,2013-11-26 09:48:21,Open Source Continuous File Synchronization,f,f,f,,9521bb3931966dc95499a0834fcfdd755088751c,1.23.0
269,fzf,https://github.com/junegunn/fzf,39460,13873,4259,1708,282,2013-10-23 16:04:23,:cherry_blossom: A command-line fuzzy finder,f,f,f,,66df24040fed3c76df545fc34b47387c86922786,1.20
726,prometheus,https://github.com/prometheus/prometheus,38965,120587,133845,6398,508,2012-11-24 11:14:12,The Prometheus monitoring system and time series database.,f,f,f,,b4d3c06acb805f9b9e786eb268b7cea84b34d1b0,1.23.0
891,v2ray-core,https://github.com/v2ray/v2ray-core,38211,78943,55081,8255,25,2015-09-04 11:42:53,A platform for building proxies to bypass network restrictions.,f,f,f,,d80440f3d57b45c829dbf513306f7adf9a0f3f76,1.15
409,gogs,https://github.com/gogs/gogs,37759,89453,203867,4406,799,2014-02-12 01:57:08,Gogs is a painless self-hosted Git service,f,f,f,,54cd8fd160c1e46f37be15c96ca396e9e84e2ce0,1.24
233,etcd,https://github.com/etcd-io/etcd,37401,230295,65333,8004,204,2013-07-06 21:57:21,Distributed reliable key-value store for the most critical data of a distributed system,f,f,f,,b90c5bce98cbf10e46de2a1094bf533147108e60,1.24
