id,repo_name,url,stars,loc,size,forks_count,issues,created_at,description,archived,educational,outofdate,tag,commit,go_version
573,kubernetes,https://github.com/kubernetes/kubernetes,81459,2144272,1020273,29685,2695,2014-06-06 22:56:04,Production-Grade Container Scheduling and Management,f,f,f,v1.32.3,9bda0764be69f1065fa6543bb38416f2cfbd29d0,1.23.0
509,hugo,https://github.com/gohugoio/hugo,54484,147623,105307,6186,692,2013-07-04 15:26:26,The world’s fastest framework for building websites.,f,f,f,v0.146.5,61328976e11cbb9d906b4a790b8a7cd25b2a914f,1.23.0
281,gin,https://github.com/gin-gonic/gin,51896,15968,2678,5888,442,2014-06-16 23:57:25,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",f,f,f,v1.10.0,75ccf94d605a05fe24817fc2f166f6f2959d5cea,1.20
264,frp,https://github.com/fatedier/frp,48781,20472,24962,9035,91,2015-12-21 15:24:59,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,f,f,f,v0.62.0,b474f6e8420eebf6cf3d8a4ca44cfa14ffe0e748,1.23.0
824,syncthing,https://github.com/syncthing/syncthing,40305,96379,116850,3197,302,2013-11-26 09:48:21,Open Source Continuous File Synchronization,f,f,f,v1.29.5,a95d98aa13d0f1e66db39044c83d11a7079895ea,1.23.0
269,fzf,https://github.com/junegunn/fzf,39460,13873,4259,1708,282,2013-10-23 16:04:23,:cherry_blossom: A command-line fuzzy finder,f,f,f,v0.61.1,2c5f239a1e7554c2182587be9794e45b721f7236,1.20
726,prometheus,https://github.com/prometheus/prometheus,38965,120587,133845,6398,508,2012-11-24 11:14:12,The Prometheus monitoring system and time series database.,f,f,f,v2.53.4,aecd1b2b2b4bd452d31174f5032d83e88527eaac,1.21
891,v2ray-core,https://github.com/v2ray/v2ray-core,38211,78943,55081,8255,25,2015-09-04 11:42:53,A platform for building proxies to bypass network restrictions.,f,f,f,v4.31.0,1f70185b852fbfa6aaa0aa1fd906651e7f324d4b,1.15
409,gogs,https://github.com/gogs/gogs,37759,89453,203867,4406,799,2014-02-12 01:57:08,Gogs is a painless self-hosted Git service,f,f,f,v0.13.2,593c7b6db601c68d16b2fb9a7e1194cb816f5efb,1.18
233,etcd,https://github.com/etcd-io/etcd,37401,230295,65333,8004,204,2013-07-06 21:57:21,Distributed reliable key-value store for the most critical data of a distributed system,f,f,f,v3.4.37,1c5f2aea8eb6cc1695e1faff6870eb9abfc03c3e,1.23.0
867,traefik,https://github.com/traefik/traefik,35220,106044,59585,3900,619,2015-09-13 19:04:02,The Cloud Native Application Proxy,f,f,f,v2.11.23,a75b2384ea68e3b5580b6b543ec21faffb8621ca,1.23.0
105,caddy,https://github.com/caddyserver/caddy,34782,46223,14972,2796,77,2015-01-13 19:45:03,"Fast, multi-platform web server with automatic HTTPS",f,f,f,v2.9.1,e2e2a52b0b536e4c79ae126fd096de16f857d283,1.22.3
327,go-ethereum,https://github.com/ethereum/go-ethereum,32591,465833,173485,12002,392,2013-12-26 13:05:46,Official Go implementation of the Ethereum protocol,f,f,f,v1.15.8,f8ff24e8cfa95c7a1b55857dd5306a9d3b4e50ca,1.23.0
640,mkcert,https://github.com/FiloSottile/mkcert,32074,1457,1831,1479,96,2018-06-25 05:33:03,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,f,f,f,v1.4.4,2a46726cebac0ff4e1f133d90b4e4c42f1edf44a,1.18
638,minio,https://github.com/minio/minio,29491,264741,117451,3301,33,2015-01-14 19:23:58,"High Performance, Kubernetes Native Object Storage",f,f,f,RELEASE.2025-04-08T15-41-24Z,5e4b8c0229081c726dfd3d28c5abdff074ff8bb7,1.23.0
841,terraform,https://github.com/hashicorp/terraform,29314,324058,189160,6955,1524,2014-03-13 22:25:48,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",f,f,f,v1.11.4,35645b8fca68ff7e0b8785a3b563724a529a0caf,1.23.3
856,tidb,https://github.com/pingcap/tidb,29154,551361,241114,4649,2337,2015-09-06 04:01:52,TiDB is an open source distributed HTAP database compatible with the MySQL protocol ,f,f,f,v9.0.0-beta.1,7aff918dcbfa6facf2adef9ade9961c40f217421,1.23.7
751,rclone,https://github.com/rclone/rclone,28991,219020,168800,2613,743,2014-03-16 16:19:57,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files",f,f,f,v1.69.1,7042caf96623b87a01267b6a19ecd0c28e4fc11e,1.21
524,istio,https://github.com/istio/istio,28105,307072,203052,5718,749,2016-11-18 23:57:21,"Connect, secure, control, and observe services.",f,f,f,1.25.2,5b18b795d77aec87815d077a3aab676e3095e383,1.23.0
195,dive,https://github.com/wagoodman/dive,27754,8796,4492,1058,104,2018-05-13 15:44:01,A tool for exploring each layer in a docker image,f,f,f,v0.13.1,fe98c8a2eb08c443a36e3cc7568078909e298433,1.24
232,esbuild,https://github.com/evanw/esbuild,27594,75334,11792,650,234,2016-06-14 16:08:50,An extremely fast JavaScript bundler and minifier,f,f,f,v0.25.2,4475787eef4c4923b92b9fa37ebba1c88b9e1d9b,1.13
72,beego,https://github.com/beego/beego,27033,80949,10727,5317,28,2012-02-29 02:32:08,"beego is an open-source, high-performance web framework for the Go programming language.",f,f,f,v2.3.7,8b65fc75c44b878b35420cdab47e3cbc8f53a0f0,1.20
289,gitea,https://github.com/go-gitea/gitea,26506,217918,214112,3298,1807,2016-11-01 02:13:26,"Git with a cup of tea, painless self-hosted git service",f,f,f,v1.23.7,591904c861539d66e0c6b8752d52ae2419c4a2bb,1.23.6
140,cli,https://github.com/cli/cli,25621,18021,23361,2825,391,2019-10-03 15:24:53,GitHub’s official command line tool,f,f,f,v2.70.0,408e21ebdddf9cd14289e49135389a6e5125eff4,1.23.0
459,gorm,https://github.com/go-gorm/gorm,25378,24032,3802,2866,120,2013-10-25 08:31:38,"The fantastic ORM library for Golang, aims to be developer friendly",f,f,f,v1.21.0,664755270ddba77cc669de814afca71ae5575fce,1.14
210,drone,https://github.com/drone/drone,23961,81567,28704,2337,48,2014-02-07 07:54:44,"Drone is a Container-Native, Continuous Delivery Platform",f,f,f,v2.26.0,4f85961434061d8a36be9d7528e5a0171a07d3ba,1.22.7
957,compose,https://github.com/docker/compose,23683,15987,21413,3957,591,2013-12-09 11:40:58,Define and run multi-container applications with Docker,f,f,f,v2.35.0,0c37c10964b1ec79d1fc80d0aa4dd2215eec5775,1.23.8
146,cobra,https://github.com/spf13/cobra,23356,13883,1460,1987,349,2013-09-03 20:40:26,A Commander for modern Go CLI interactions,f,f,f,v1.9.1,a655097faf7d54f78933a815984b9919d51a05d2,1.15
159,consul,https://github.com/hashicorp/consul,23287,399773,347648,3850,957,2013-11-04 22:15:27,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.",f,f,f,v1.20.5,74efe4194ec2383c6e0ea06af953f97677ebff75,1.23.6
147,cockroach,https://github.com/cockroachdb/cockroach,22173,2200728,1748288,2883,4211,2014-02-06 00:18:47,"CockroachDB - the open source, cloud-native distributed SQL database.",f,f,f,,,1.23.7
637,minikube,https://github.com/kubernetes/minikube,21966,77266,164037,3705,619,2016-04-15 22:38:35,Run Kubernetes locally,f,f,f,v1.35.0,c9274c87a954495bf8280ee9977c4c3a71971f56,1.23.0
893,vault,https://github.com/hashicorp/vault,21879,355880,172373,3078,1070,2015-02-25 00:15:59,"A tool for secrets management, encryption as a service, and privileged access management",f,f,f,v1.19.1,aa75903ec499b2236da9e7bbbfeb7fd16fa4fd9d,1.23.6
554,kit,https://github.com/go-kit/kit,21361,40493,7453,2192,47,2015-02-03 00:01:19,A standard library for microservices.,f,f,f,v0.13.0,dfe43fa6a8d72c23e2205d0b80e762346e203f78,1.17
584,lazygit,https://github.com/jesseduffield/lazygit,21332,27461,25579,816,218,2018-05-19 00:53:06,simple terminal UI for git commands,f,f,f,v0.49.0,5f809809dda06c98e51743ac8c19af6a26a5984b,1.24.0
508,hub,https://github.com/github/hub,21258,15277,7255,2246,272,2009-12-05 22:15:25,A command-line tool that makes git easier to use with GitHub.,f,f,f,v2.14.2,606a5de81b31ade21631e90fb42082ad19b64aac,1.11
523,iris,https://github.com/kataras/iris,21244,84148,14644,2298,69,2016-01-30 04:36:48,"The fastest HTTP/2 Go Web Framework. AWS Lambda, gRPC, MVC, Unique Router, Websockets, Sessions, Test suite, Dependency Injection and more. A true successor of expressjs and laravel | 谢谢 https://github.com/kataras/iris/issues/1329 |",f,f,f,v12.2.11,08a852ec48614a5b3e0772c8adf414be72fba800,1.22
220,echo,https://github.com/labstack/echo,20798,20976,5892,1842,65,2015-03-01 17:43:01,"High performance, minimalist Go web framework",f,f,f,v4.13.3,45524e39d60d424d8ac175001eed70d6ace92930,1.20
