Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///handlers/authentication/session_persistor.go:211:2:211:40""]].
This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///handlers/authentication/session_persistor.go:242:4:242:79""]].","/handlers/authentication/openid_auth_controller.go","212","9","212","23"
"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///handlers/authentication/session_persistor.go:211:2:211:40""]].
This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///handlers/authentication/session_persistor.go:242:4:242:79""]].
This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///handlers/authentication/token_auth_controller.go:77:11:77:20""]].","/handlers/authentication/token_auth_controller.go","184","9","184","22"
"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///handlers/authentication/header_auth_controller.go:167:20:167:27""]].","/kubernetes/kubetest/mock.go","200","8","200","18"
