CWE,Name,Type
CWE-295,Improper Certificate Validation,Base
CWE-296,Improper Following of a Certificate's Chain of Trust,Base
CWE-312,Cleartext Storage of Sensitive Information,Base
CWE-319,Cleartext Transmission of Sensitive Information,Base
CWE-322,Key Exchange without Entity Authentication,Base
CWE-324,Use of a Key Past its Expiration Date,Base
CWE-330,Use of Insufficiently Random Values,Class
CWE-331,Insufficient Entropy,Base
CWE-334,Small Space of Random Values,Base
CWE-340,Generation of Predictable Numbers or Identifiers,Class
CWE-522,Insufficiently Protected Credentials,Class
CWE-523,Unprotected Transport of Credentials,Base
CWE-757,Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade'),Base
CWE-798,Use of Hard-coded Credentials,Base
