"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///modules/setting/security.go:81:10:81:11""]].","/cmd/serv.go","169","41","169","66"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///models/git/lfs_lock.go:195:44:195:54""]].","/models/git/lfs_lock.go","195","44","195","54"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///models/user/user_system.go:14:23:14:29""]].","/models/user/user_system.go","14","23","14","29"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///models/user/user_system.go:50:20:50:34""]].","/models/user/user_system.go","50","20","50","34"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///modules/setting/oauth2.go:20:55:20:64""]].","/modules/setting/oauth2.go","20","55","20","64"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///modules/setting/oauth2.go:21:55:21:61""]].","/modules/setting/oauth2.go","21","55","21","61"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///modules/setting/oauth2.go:70:27:70:48""]].","/modules/setting/oauth2.go","70","27","70","48"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///modules/setting/security.go:112:15:112:30""]].
Hard-coded [[""secret""|""relative:///modules/setting/security.go:112:15:112:30""]].","/modules/setting/security.go","112","15","112","30"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///routers/web/repo/setting/secrets.go:20:32:20:54""]].","/routers/web/repo/setting/secrets.go","20","32","20","54"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///routers/web/repo/setting/secrets.go:21:32:21:53""]].","/routers/web/repo/setting/secrets.go","21","32","21","53"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///routers/web/repo/setting/secrets.go:41:21:41:34""]].","/routers/web/repo/setting/secrets.go","41","21","41","34"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///routers/web/repo/setting/secrets.go:56:21:56:33""]].","/routers/web/repo/setting/secrets.go","56","21","56","33"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///modules/setting/security.go:81:10:81:11""]].","/services/actions/auth.go","66","41","66","78"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///modules/setting/security.go:81:10:81:11""]].","/services/packages/auth.go","44","41","44","78"
