"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///pkg/apis/workflow/v1alpha1/generated.pb.go:19486:39:19486:63""]].","/pkg/apis/workflow/v1alpha1/generated.pb.go","19486","39","19486","63"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///util/tls/tls.go:27:20:27:28""]].
Hard-coded [[""secret""|""relative:///util/tls/tls.go:27:20:27:28""]].","/util/tls/tls.go","27","20","27","28"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///util/tls/tls.go:30:20:30:28""]].
Hard-coded [[""secret""|""relative:///util/tls/tls.go:30:20:30:28""]].","/util/tls/tls.go","30","20","30","28"
