Category,Algorithm,Reason,Type
Dangerous,RC4,“Security strength ≤ 80”,Symmetric
Dangerous,DES,“Security strength ≤ 80”,Symmetric
Dangerous,Blowfish,“Birthday attacks”,Symmetric
Dangerous,TEA,“Birthday attacks”,Symmetric
Dangerous,XTEA,“Birthday attacks”,Symmetric
Dangerous,MD4,“Security strength ≤ 80”,Hash
Dangerous,MD5,“Security strength ≤ 80”,Hash
Dangerous,SHA1,“Security strength ≤ 80”,Hash
Dangerous,Ripemd160,“Security strength ≤ 80”,Hash
Dangerous,PKCS1V1.5,“Robot/Marvin attack”,Padding
Warning,3TDEA,“Security strength = 112”,Symmetric
Warning,P224,“Security strength = 112”,“Elliptic-curve”
Warning,SHA2-224,“Security strength = 112”,Hash
Warning,SHA2-512/224,“Security strength = 112”,Hash
Warning,SHA3-224,“Security strength = 112”,Hash
Warning,HMAC-MD5,“Security strength = 112”,MAC
