"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/ssoadmin/api.go:875:36:875:61""]].","/service/ssoadmin/api.go","875","36","875","61"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/ssoadmin/api.go:2092:36:2092:61""]].","/service/ssoadmin/api.go","2092","36","2092","61"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/ssoadmin/api.go:3052:38:3052:65""]].","/service/ssoadmin/api.go","3052","38","3052","65"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/ssoadmin/api.go:6762:35:6762:59""]].","/service/ssoadmin/api.go","6762","35","6762","59"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/ssoadmin/api.go:8235:36:8235:61""]].","/service/ssoadmin/api.go","8235","36","8235","61"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/ssoadmin/api.go:19909:34:19909:43""]].","/service/ssoadmin/api.go","19909","34","19909","43"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/support/api.go:1125:54:1125:97""]].","/service/support/api.go","1125","54","1125","97"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/support/api.go:1230:45:1230:79""]].","/service/support/api.go","1230","45","1230","79"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/support/api.go:1348:48:1348:85""]].","/service/support/api.go","1348","48","1348","85"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/support/api.go:1450:40:1450:69""]].","/service/support/api.go","1450","40","1450","69"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///service/support/api.go:1557:38:1557:65""]].","/service/support/api.go","1557","38","1557","65"
