Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///config/session.go:429:13:429:20""]].","/pkg/grpc/session/session.go","138","12","138","16"
"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///proxy/handlers.go:165:21:165:28""]].
This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///proxy/handlers.go:179:30:179:37""]].","/proxy/handlers.go","204","5","204","10"
