id,repo_name,url,stars,loc,size,forks_count,issues,created_at,description,archived,educational,outofdate,tag,commit,go_version,contributors
746,raft,https://github.com/hashicorp/raft,8590,584167,2197,1025,47,2013-11-05 00:41:20,Golang implementation of the Raft consensus protocol,f,f,f,v1.7.3,c0dc6a0b2c7e889f31e5ab2f7ed90ceb159acffe,1.20,125
726,prometheus,https://github.com/prometheus/prometheus,58681,7657827,256333,9561,704,2012-11-24 11:14:12,The Prometheus monitoring system and time series database.,f,f,f,v3.4.0,f9a0bc8869fd531fd89ab66e3248b604f38eaca3,1.23.0,1203
713,pipeline,https://github.com/tektoncd/pipeline,8657,7105384,133979,1820,423,2018-08-29 18:21:55,A cloud-native Pipeline resource.,f,f,f,v1.0.0,d9974e2cce817a43c69789161f0824e05a7572af,1.23.0,381
725,prest,https://github.com/prest/prest,4354,436739,17468,294,141,2016-11-22 05:17:05,"pREST (PostgreSQL REST), low-code, simplify and accelerate development, ⚡ instant, realtime, high-performance on any Postgres application, existing or new",f,f,f,v2.0.0-rc2,03937fb164390e66ce86e378abee11ee9b23c484,1.23,75
724,pq,https://github.com/lib/pq,9467,396183,1081,923,331,2012-03-12 18:50:22,Pure Go Postgres driver for database/sql,f,f,f,v1.10.9,2a217b94f5ccd3de31aec4152a541b9ff64bed05,1.13,142
747,rainbond,https://github.com/goodrain/rainbond,5231,4028021,145678,800,49,2017-11-05 09:33:39,Cloud-native and easy-to-use application management platform | 云原生且易用的应用管理平台,f,f,f,v6.3.0-release,49afd390b7f9a9cd6ddedde44f40f97d6d4bab24,1.23.0,51
731,protoactor-go,https://github.com/asynkron/protoactor-go,5225,630248,37143,538,86,2016-04-17 19:08:14,"Proto Actor - Ultra fast distributed actors for Go, C# and Java/Kotlin",f,f,f,0.4.0,49001705a0fefbae5c4ffd0acb8ed39be3eb5292,1.21,96
748,rancher,https://github.com/rancher/rancher,24171,10840870,164528,3041,3120,2014-11-07 20:49:31,Complete container management platform,f,f,f,v2.11.2,d0cd9e19a55ea43375cf4d75bea82dbfd5517707,1.23.4,376
727,prometheus-operator,https://github.com/prometheus-operator/prometheus-operator,9444,3222672,130797,3774,232,2016-09-22 21:38:06,Prometheus Operator creates/configures/manages Prometheus clusters atop Kubernetes,f,f,f,v0.82.2,eed360ad68e120bc841218df180750b3eb6de5a1,1.24,724
745,quorum,https://github.com/ConsenSys/quorum,4727,13067085,189599,1312,86,2016-11-14 05:42:57,A permissioned implementation of Ethereum supporting data privacy,f,f,f,v24.4.1,8585ac91f198ad53977b5293a9dfdf366779b556,1.20,643
736,pulumi,https://github.com/pulumi/pulumi,23089,12432883,165979,1195,2274,2016-10-31 21:02:47,"Pulumi - Modern Infrastructure as Code. Any cloud, any language 🚀",f,f,f,v3.171.0,f3d692d442223b23f7c7b93b1105acacd4efbf21,1.23.0,314
941,Xray-core,https://github.com/XTLS/Xray-core,28607,2139388,6469,4295,36,2020-11-09 11:23:10,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",f,f,f,v25.5.16,800b8b50cc01e7c8904e6f58a682db0e9b4f795c,1.24,167
953,boulder,https://github.com/letsencrypt/boulder,5426,3801790,28020,611,183,2014-12-21 00:29:54,"An ACME-based certificate authority, written in Go. ",f,f,f,release-2025-05-20,1b7787a3fc95b9ef0e94cb0f1fb2f2f37bcff332,1.24.0,137
58,argo-workflows,https://github.com/argoproj/argo-workflows,15653,4552919,157194,3301,1219,2017-08-21 18:50:44,Workflow engine for Kubernetes,f,f,f,v3.6.7,8d7dae690e152d19fb40f7affbb68fb783b32172,1.24.2,955
716,podman,https://github.com/containers/podman,26885,8442854,159953,2642,821,2017-11-01 15:01:27,Podman: A tool for managing OCI containers and pods.,f,f,f,v5.5.0,ae55dfc8472d373dd9b6806f0ac7bafca8340633,1.23.3,816
767,rke,https://github.com/rancher/rke,3269,885480,268049,590,43,2017-10-25 23:25:53,"Rancher Kubernetes Engine (RKE), an extremely simple, lightning fast Kubernetes distribution that runs entirely within containers.",f,f,f,v1.8.3,a69e1dcfbb12fa59e92f10922bb6b35d2c6de50f,1.23.0,126
