Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
"Use of insufficient randomness as the key of a cryptographic algorithm","Using insufficient randomness as the key of a cryptographic algorithm can allow an attacker to compromise security.","error","A password-related function depends on a [[""random number""|""relative:///pkg/controller/config/oauthclient/webhook.go:126:7:126:53""]] generated with a cryptographically weak RNG.","/pkg/controller/config/oauthclient/webhook.go","126","7","126","53"
"Use of insufficient randomness as the key of a cryptographic algorithm","Using insufficient randomness as the key of a cryptographic algorithm can allow an attacker to compromise security.","error","A password-related function depends on a [[""random number""|""relative:///pkg/controller/config/oauthclient/webhook.go:126:16:126:52""]] generated with a cryptographically weak RNG.","/pkg/controller/config/oauthclient/webhook.go","126","16","126","52"
