"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded private key.","/proxy/internal/testcert.go","23","27","37","30"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded private key.","/proxy/internal/testcert.go","59","28","74","26"
