"Use of insecure HostKeyCallback implementation","Detects insecure SSL client configurations with an implementation of the `HostKeyCallback` that accepts all host keys.","warning","Configuring SSH ClientConfig with insecure HostKeyCallback implementation from [[""this source""|""relative:///pkg/api/steve/machine/ssh.go:91:20:91:46""]].","/pkg/api/steve/machine/ssh.go","91","20","91","46"
"Use of insecure HostKeyCallback implementation","Detects insecure SSL client configurations with an implementation of the `HostKeyCallback` that accepts all host keys.","warning","Configuring SSH ClientConfig with insecure HostKeyCallback implementation from [[""this source""|""relative:///pkg/controllers/management/node/controller.go:768:20:768:46""]].","/pkg/controllers/management/node/controller.go","768","20","768","46"
"Use of insecure HostKeyCallback implementation","Detects insecure SSL client configurations with an implementation of the `HostKeyCallback` that accepts all host keys.","warning","Configuring SSH ClientConfig with insecure HostKeyCallback implementation from [[""this source""|""relative:///tests/v2/validation/fleet/provisioning/airgap/airgap.go:68:20:68:46""]].","/tests/v2/validation/fleet/provisioning/airgap/airgap.go","68","20","68","46"
"Insecure TLS configuration","If an application supports insecure TLS versions or ciphers, it may be vulnerable to machine-in-the-middle and other attacks.","warning","Using insecure TLS version VersionTLS10 for MinVersion.","/pkg/nodeconfig/archive.go","40","17","40","32"
"Insecure TLS configuration","If an application supports insecure TLS versions or ciphers, it may be vulnerable to machine-in-the-middle and other attacks.","warning","Use of an insecure cipher suite: TLS_RSA_WITH_RC4_128_SHA.
Use of an insecure cipher suite: TLS_RSA_WITH_AES_128_CBC_SHA256.
Use of an insecure cipher suite: TLS_ECDHE_ECDSA_WITH_RC4_128_SHA.
Use of an insecure cipher suite: TLS_ECDHE_RSA_WITH_RC4_128_SHA.
Use of an insecure cipher suite: TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256.
Use of an insecure cipher suite: TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256.","/pkg/tls/config.go","64","17","64","28"
"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///pkg/auth/tokens/token_util.go:95:3:95:39""]].
This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///pkg/auth/tokens/token_util.go:74:16:74:25""]].","/pkg/auth/requests/service_account.go","98","40","98","47"
