"Missing JWT signature check","Failing to check the JSON Web Token (JWT) signature may allow an attacker to forge their own tokens.","error","This JWT is parsed without verification and received from [[""this user-controlled source""|""relative:///cmd/argocd/commands/login.go:277:17:277:39""]].","/cmd/argocd/commands/login.go","143","41","143","51"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/server/server.go","518","3","518","30"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/util/grpc/grpc.go","131","2","131","29"
