Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/app/kuma-dp/pkg/dataplane/envoy/remote_bootstrap.go","75","4","75","31"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/pkg/intercp/client/client.go","48","4","48","31"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/pkg/util/http/tls.go","20","3","20","46"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/app/kuma-dp/pkg/dataplane/probes/http.go","122","4","122","27"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/test/framework/client/collect.go","377","5","377","28"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/tools/xds-client/stream/client.go","47","4","47","27"
