Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/modules/http_proxy/http_proxy_base.go","290","4","290","27"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/modules/syn_scan/http_grabber.go","46","6","46","29"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/modules/zerogod/zerogod_advertise.go","88","3","88","26"
"Disabled TLS certificate check","If an application disables TLS certificate checking, it may be vulnerable to man-in-the-middle attacks.","warning","InsecureSkipVerify should not be used in production code.","/tls/sign.go","20","23","20","46"
